Provincia,Año,Trimestre,Accesos telefonía fija (total),Variacion Trimestral,'Accesos telefonía fija (total)'
Capital Federal,2020,3,0.6403620524734421,0.6403620524734421,1433000
Capital Federal,2020,4,-0.6362875087229547,-0.6362875087229547,1423882
Capital Federal,2021,1,-1.9843638728490154,-1.9843638728490154,1395627
Capital Federal,2021,2,3.1147290787581605,3.1147290787581605,1439097
Capital Federal,2021,3,-4.976176032609336,-4.976176032609336,1367485
Capital Federal,2021,4,5.236766765266165,5.236766765266165,1439097
Capital Federal,2022,1,4.790087117129693,4.790087117129693,1508031
Catamarca,2014,1,,,39318
Catamarca,2014,2,0.0839310239584945,0.0839310239584945,39351
Catamarca,2014,3,0.259205611039115,0.259205611039115,39453
Catamarca,2014,4,-0.07603984487871696,-0.07603984487871696,39423
Catamarca,2015,1,-0.7127818785987894,-0.7127818785987894,39142
Catamarca,2015,2,-0.002554800470078167,-0.002554800470078167,39141
Catamarca,2015,3,0.26059630566412917,0.26059630566412917,39243
Catamarca,2015,4,0.06370562902937582,0.06370562902937582,39268
Catamarca,2016,1,-1.5356015075888796,-1.5356015075888796,38665
Catamarca,2016,2,-0.29484029484029284,-0.29484029484029284,38551
Catamarca,2016,3,0.7496562994474765,0.7496562994474765,38840
Catamarca,2016,4,-0.45056642636457367,-0.45056642636457367,38665
Catamarca,2017,1,0.0,0.0,38665
Catamarca,2017,2,-0.29484029484029284,-0.29484029484029284,38551
Catamarca,2017,3,0.7496562994474765,0.7496562994474765,38840
Catamarca,2017,4,-0.45056642636457367,-0.45056642636457367,38665
Catamarca,2018,1,-0.7500323289796995,-0.7500323289796995,38375
Catamarca,2018,2,-0.5628664495114011,-0.5628664495114011,38159
Catamarca,2018,3,-0.7390130768626046,-0.7390130768626046,37877
Catamarca,2018,4,-2.39459302479077,-2.39459302479077,36970
Catamarca,2019,1,-2.1422775223153945,-2.1422775223153945,36178
Catamarca,2019,2,-14.000221128862844,-14.000221128862844,31113
Catamarca,2019,3,5.023623565712088,5.023623565712088,32676
Catamarca,2019,4,-4.783327212633126,-4.783327212633126,31113
Catamarca,2020,1,-4.4033040851091165,-4.4033040851091165,29743
Catamarca,2020,2,12.715596947180853,12.715596947180853,33525
Catamarca,2020,3,0.21178225205071843,0.21178225205071843,33596
Catamarca,2020,4,-0.21133468270032596,-0.21133468270032596,33525
Catamarca,2021,1,-20.665175242356447,-20.665175242356447,26597
Catamarca,2021,2,11.42234086551115,11.42234086551115,29635
Catamarca,2021,3,-16.709971317698667,-16.709971317698667,24683
Catamarca,2021,4,20.06239111939392,20.06239111939392,29635
Catamarca,2022,1,1.7951746245992828,1.7951746245992828,30167
Chaco,2014,1,,,102435
Chaco,2014,2,-0.12202860350466471,-0.12202860350466471,102310
Chaco,2014,3,3.4737562310624526,3.4737562310624526,105864
Chaco,2014,4,-0.45907957379278663,-0.45907957379278663,105378
Chaco,2015,1,-1.0704321585150556,-1.0704321585150556,104250
Chaco,2015,2,-0.006714628297366243,-0.006714628297366243,104243
Chaco,2015,3,2.8471935765471024,2.8471935765471024,107211
Chaco,2015,4,-3.5901166857878364,-3.5901166857878364,103362
Chaco,2016,1,-1.2432034983843154,-1.2432034983843154,102077
Chaco,2016,2,0.9061786690439666,0.9061786690439666,103002
Chaco,2016,3,-0.1728121784043024,-0.1728121784043024,102824
Chaco,2016,4,-0.7264840893176694,-0.7264840893176694,102077
Chaco,2017,1,0.0,0.0,102077
Chaco,2017,2,0.9061786690439666,0.9061786690439666,103002
Chaco,2017,3,-0.1728121784043024,-0.1728121784043024,102824
