Provincia,Año,Trimestre,Accesos TV por suscripción,Variacion Trimestral
Córdoba,2015,4,994334,0.8199771456846028
Córdoba,2016,1,998906,0.45980525658380067
Córdoba,2016,2,1005624,0.6725357541150112
Córdoba,2016,3,1011257,0.560149717986036
Córdoba,2016,4,1009280,-0.19549926477641089
Córdoba,2017,1,1022544,1.3142041851617048
Córdoba,2017,2,1019606,-0.287322599320905
Córdoba,2017,3,1024289,0.45929506103337125
Córdoba,2017,4,1040718,1.6039418562534546
Córdoba,2018,1,1104478,6.1265395621100005
Córdoba,2018,2,1114481,0.9056767088162943
Córdoba,2018,3,1077148,-3.349810360158678
Córdoba,2018,4,1056763,-1.892497595502196
Córdoba,2019,1,1057252,0.0462733839091678
Córdoba,2019,2,1063751,0.6147068059459748
Córdoba,2019,3,1104134,3.7962831527302843
Córdoba,2019,4,1113585,0.8559649462837049
Córdoba,2020,1,1062830,-4.557802053727378
Córdoba,2020,2,1098162,3.3243322074085313
Córdoba,2020,3,1093908,-0.38737454036835706
Córdoba,2020,4,1073026,-1.9089356691787573
Córdoba,2021,1,1085427,1.1557035896613943
Córdoba,2021,2,1072980,-1.1467376433422105
Córdoba,2021,3,1105454,3.0265242595388653
Córdoba,2021,4,1118579,1.1872949937310917
Córdoba,2022,1,1124246,0.5066249232284825
Córdoba,2022,2,1141123,1.5011839045902864
Entre Ríos,2014,1,109137,
Entre Ríos,2014,2,148123,35.7220740903635
Entre Ríos,2014,3,150597,1.6702335221403741
Entre Ríos,2014,4,151868,0.8439743155574053
Entre Ríos,2015,1,151985,0.07704058787894041
Entre Ríos,2015,2,153882,1.2481494884363675
Entre Ríos,2015,3,153615,-0.1735095722696589
Entre Ríos,2015,4,154461,0.5507274680206953
Entre Ríos,2016,1,154253,-0.13466182402029903
Entre Ríos,2016,2,155110,0.5555807666625556
Entre Ríos,2016,3,155482,0.23982979820771355
Entre Ríos,2016,4,155923,0.2836341184188518
Entre Ríos,2017,1,160444,2.899508090531855
Entre Ríos,2017,2,162496,1.278950911221366
Entre Ríos,2017,3,165363,1.7643511224891606
Entre Ríos,2017,4,209564,26.72967955346721
Entre Ríos,2018,1,210310,0.35597717165161136
Entre Ríos,2018,2,211237,0.44077789929151123
Entre Ríos,2018,3,206993,-2.009117720853826
Entre Ríos,2018,4,208263,0.6135473180252538
Entre Ríos,2019,1,210247,0.9526416118081471
Entre Ríos,2019,2,211624,0.6549439468815255
Entre Ríos,2019,3,216331,2.2242278758553002
Entre Ríos,2019,4,220415,1.8878477888051082
Entre Ríos,2020,1,220527,0.05081323866342746
Entre Ríos,2020,2,218562,-0.8910473547456776
Entre Ríos,2020,3,235140,7.585033079858339
Entre Ríos,2020,4,216322,-8.0028918941907
Entre Ríos,2021,1,221612,2.44542857407013
Entre Ríos,2021,2,222673,0.4787646878327889
Entre Ríos,2021,3,243917,9.540447202849013
Entre Ríos,2021,4,229305,-5.990562363426899
Entre Ríos,2022,1,229140,-0.07195656440112108
Entre Ríos,2022,2,230101,0.4193942567862541
Formosa,2014,1,30013,
Formosa,2014,2,46553,55.109452570552754
Formosa,2014,3,46428,-0.268511159323781
Formosa,2014,4,46590,0.3489273714138097
Formosa,2015,1,46316,-0.5881090362738761
Formosa,2015,2,46356,0.08636324380344451
Formosa,2015,3,46414,0.12511864699282782
Formosa,2015,4,46385,-0.0624811479295051
Formosa,2016,1,46370,-0.03233804031476106
Formosa,2016,2,46382,0.025878800948886393
Formosa,2016,3,46371,-0.0237160967616723
Formosa,2016,4,46293,-0.1682085786375076
Formosa,2017,1,48699,5.197330049899551
Formosa,2017,2,47888,-1.665331937000758
Formosa,2017,3,49376,3.107250250584692
Formosa,2017,4,49087,-0.5853046014257957
Formosa,2018,1,52510,6.973333061706755
Formosa,2018,2,52060,-0.8569796229289661
Formosa,2018,3,59888,15.03649635036497
Formosa,2018,4,58868,-1.70317926796687
Formosa,2019,1,56736,-3.6216620235102304
Formosa,2019,2,61107,7.704103214890012
Formosa,2019,3,59066,-3.3400428756116374
Formosa,2019,4,59153,0.14729285883587906
Formosa,2020,1,59239,0.145385694723843
Formosa,2020,2,59290,0.08609193267947735
Formosa,2020,3,60169,1.4825434305953733
Formosa,2020,4,59584,-0.9722614635443549
Formosa,2021,1,60478,1.5004027926960317
Formosa,2021,2,60625,0.24306359337280536
Formosa,2021,3,66173,9.151340206185576
Formosa,2021,4,67396,1.8481858159672404
Formosa,2022,1,67264,-0.195857320909254
Formosa,2022,2,67339,0.11150095147478556
Jujuy,2014,1,64535,
Jujuy,2014,2,71984,11.542573797164323
Jujuy,2014,3,73976,2.767281618137374
Jujuy,2014,4,79331,7.238834216502643
Jujuy,2015,1,80056,0.9138924254074698
Jujuy,2015,2,83523,4.330718497052066
Jujuy,2015,3,85777,2.6986578547226525
Jujuy,2015,4,86586,0.9431432668430828
Jujuy,2016,1,84849,-2.0060979835077264
Jujuy,2016,2,85293,0.5232825372131655
Jujuy,2016,3,84547,-0.8746321503523169
Jujuy,2016,4,81754,-3.303488000756971
Jujuy,2017,1,84116,2.8891552706901136
Jujuy,2017,2,84568,0.5373531789433672
Jujuy,2017,3,84664,0.11351811559927594
Jujuy,2017,4,87008,2.7685911367287153
Jujuy,2018,1,88658,1.896377344611988
Jujuy,2018,2,89913,1.4155518960499824
Jujuy,2018,3,91767,2.0619932601514845
Jujuy,2018,4,98704,7.559362297993832
Jujuy,2019,1,87894,-10.951937104879239
Jujuy,2019,2,88550,0.7463535622454387
Jujuy,2019,3,91428,3.25014116318465
Jujuy,2019,4,95103,4.019556372227329
Jujuy,2020,1,97650,2.6781489542916592
Jujuy,2020,2,97761,0.11367127496160201
Jujuy,2020,3,109266,11.768496639764315
Jujuy,2020,4,109703,0.39994142734245397
Jujuy,2021,1,106851,-2.599746588516272
Jujuy,2021,2,106450,-0.3752889537767534
Jujuy,2021,3,107881,1.3442930953499355
Jujuy,2021,4,108333,0.4189801725975828
Jujuy,2022,1,109925,1.4695429832091822
Jujuy,2022,2,112372,2.226063224926089
La Pampa,2014,1,67773,
La Pampa,2014,2,76732,13.219128561521543
La Pampa,2014,3,77927,1.5573685033623441
La Pampa,2014,4,79733,2.317553607863765
La Pampa,2015,1,81292,1.9552757327580883
La Pampa,2015,2,82878,1.9509914874772383
La Pampa,2015,3,86107,3.8960882260672403
La Pampa,2015,4,87160,1.2228970931515537
La Pampa,2016,1,89605,2.805185865075721
La Pampa,2016,2,89647,0.04687238435354679
La Pampa,2016,3,90884,1.3798565484623104
La Pampa,2016,4,100574,10.661942696184145
La Pampa,2017,1,101390,0.8113428918010701
La Pampa,2017,2,99285,-2.0761416313245906
La Pampa,2017,3,99694,0.4119454096792152
La Pampa,2017,4,84075,-15.666940838967236
La Pampa,2018,1,83823,-0.2997323818019648
La Pampa,2018,2,82552,-1.5162902783245613
La Pampa,2018,3,83258,0.8552185289272263
La Pampa,2018,4,81403,-2.2280141247687957
La Pampa,2019,1,81351,-0.0638797095930177
La Pampa,2019,2,83122,2.176986146451787
La Pampa,2019,3,82596,-0.632804792954933
La Pampa,2019,4,81047,-1.8753934815245343
La Pampa,2020,1,79897,-1.4189297568077741
La Pampa,2020,2,80878,1.2278308321964637
La Pampa,2020,3,79243,-2.0215633423180557
La Pampa,2020,4,79521,0.3508196307560274
La Pampa,2021,1,80094,0.7205643792205896
La Pampa,2021,2,79718,-0.4694483981321995
La Pampa,2021,3,81056,1.6784164178730077
La Pampa,2021,4,82376,1.6285037504934818
La Pampa,2022,1,78656,-4.515878411187724
La Pampa,2022,2,77942,-0.9077502034174123
La Rioja,2014,1,25108,
La Rioja,2014,2,25071,-0.14736339015453126
La Rioja,2014,3,24594,-1.9025966255833415
La Rioja,2014,4,26337,7.087094413271533
La Rioja,2015,1,25553,-2.9768006986368944
La Rioja,2015,2,25403,-0.5870152232614556
La Rioja,2015,3,25779,1.4801401409282322
La Rioja,2015,4,25151,-2.4360913922184757
La Rioja,2016,1,24225,-3.6817621565742864
La Rioja,2016,2,24385,0.660474716202275
La Rioja,2016,3,24599,0.8775886815665324
La Rioja,2016,4,25719,4.553030611000453
La Rioja,2017,1,24415,-5.070181577821842
La Rioja,2017,2,24114,-1.2328486586115073
La Rioja,2017,3,23965,-0.6178983163307672
La Rioja,2017,4,23707,-1.0765699979136234
La Rioja,2018,1,23758,0.21512633399418668
La Rioja,2018,2,22865,-3.7587339001599496
La Rioja,2018,3,24018,5.042641591952757
La Rioja,2018,4,24839,3.4182696311100047
La Rioja,2019,1,25931,4.396312250895762
La Rioja,2019,2,25887,-0.16968107670355392
La Rioja,2019,3,20088,-22.401205238150425
La Rioja,2019,4,18979,-5.52070888092393
La Rioja,2020,1,18853,-0.6638916697402353
La Rioja,2020,2,19297,2.355062854718093
La Rioja,2020,3,19678,1.9744001658288823
La Rioja,2020,4,23695,20.413659924789094
La Rioja,2021,1,19675,-16.96560455792361
La Rioja,2021,2,20282,3.0851334180431955
La Rioja,2021,3,20724,2.179272261118226
La Rioja,2021,4,25613,23.591005597375016
La Rioja,2022,1,23751,-7.269745832194586
La Rioja,2022,2,24062,1.3094185507978695
Mendoza,2014,1,106933,
Mendoza,2014,2,116281,8.741922512227273
Mendoza,2014,3,116918,0.5478109063389525
Mendoza,2014,4,116149,-0.6577259275731717
Mendoza,2015,1,115783,-0.31511248482553045
Mendoza,2015,2,116704,0.795453563994708
Mendoza,2015,3,117481,0.6657869481765832
Mendoza,2015,4,116883,-0.5090184795839336
Mendoza,2016,1,116180,-0.601456157011715
Mendoza,2016,2,116159,-0.018075400241002182
Mendoza,2016,3,116331,0.14807290007661233
Mendoza,2016,4,116997,0.5725043195708768
Mendoza,2017,1,116672,-0.277784900467537
Mendoza,2017,2,113243,-2.9390085024684542
Mendoza,2017,3,113715,0.4168028045883565
Mendoza,2017,4,113934,0.19258672998285764
Mendoza,2018,1,88337,-22.46651570207313
Mendoza,2018,2,89146,0.915811041805803
Mendoza,2018,3,117513,31.82083323985372
Mendoza,2018,4,117382,-0.11147702807349225
Mendoza,2019,1,140501,19.69552401560717
Mendoza,2019,2,139687,-0.5793553070796653
Mendoza,2019,3,103899,-25.620136447915698
Mendoza,2019,4,102375,-1.4668091126959881
Mendoza,2020,1,103132,0.7394383394383475
Mendoza,2020,2,102654,-0.46348369080402296
Mendoza,2020,3,104996,2.2814503088043336
Mendoza,2020,4,106491,1.4238637662387088
Mendoza,2021,1,106177,-0.29486059854823
Mendoza,2021,2,108664,2.342315190672184
Mendoza,2021,3,112397,3.435360376941765
Mendoza,2021,4,115618,2.8657348505743085
Mendoza,2022,1,120661,4.361777577885806
Mendoza,2022,2,129894,7.6520168074191375
Misiones,2014,1,99220,
Misiones,2014,2,114366,15.265067526708332
Misiones,2014,3,115847,1.2949652868859518
Misiones,2014,4,112595,-2.8071508109834498
