Provincia,Año,Trimestre,Accesos por cada 100 hogares,Variacion Trimestral
Jujuy,2017,2,22.4,-1.5817223198594133
Jujuy,2017,3,22.65,1.116071428571419
Jujuy,2017,4,22.74,0.3973509933774766
Jujuy,2018,1,23.12,1.6710642040457468
Jujuy,2018,2,23.43,1.3408304498269796
Jujuy,2018,3,23.26,-0.725565514297899
Jujuy,2018,4,46.53,100.04299226139293
Jujuy,2019,1,46.41,-0.2578981302385652
Jujuy,2019,2,44.51,-4.093945270415855
Jujuy,2019,3,44.32,-0.42687036620983054
Jujuy,2019,4,45.38,2.391696750902539
Jujuy,2020,1,46.67,2.8426619656236163
Jujuy,2020,2,47.89,2.6140989929290814
Jujuy,2020,3,54.04,12.841929421591146
Jujuy,2020,4,53.46,-1.0732790525536662
Jujuy,2021,1,55.63,4.0591096146651795
Jujuy,2021,2,56.18,0.9886751752651302
Jujuy,2021,3,55.69,-0.8721965112139629
Jujuy,2021,4,56.92,2.208655054767461
Jujuy,2022,1,58.06,2.002810962754742
La Pampa,2014,1,48.43,
La Pampa,2014,2,49.71,2.6429898823043585
La Pampa,2014,3,55.78,12.210822772078057
La Pampa,2014,4,51.27,-8.08533524560774
La Pampa,2015,1,55.51,8.269943436707617
La Pampa,2015,2,56.71,2.161772653575933
La Pampa,2015,3,57.96,2.2041967906894833
La Pampa,2015,4,58.76,1.3802622498274575
La Pampa,2016,1,57.84,-1.5656909462219093
La Pampa,2016,2,60.44,4.495159059474396
La Pampa,2016,3,61.73,2.1343481138319076
La Pampa,2016,4,63.02,2.0897456666126857
La Pampa,2017,1,62.67,-0.5553792446842287
La Pampa,2017,2,63.49,1.3084410403702007
La Pampa,2017,3,69.14,8.899039218774618
La Pampa,2017,4,71.05,2.762510847555677
La Pampa,2018,1,71.75,0.9852216748768461
La Pampa,2018,2,71.04,-0.9895470383275207
La Pampa,2018,3,71.75,0.9994369369369371
La Pampa,2018,4,73.49,2.4250871080139236
La Pampa,2019,1,76.35,3.8916859436658013
